year,name,n,
8,DRUK AIR,2993,
9,DRUK AIR,4194,
10,DRUK AIR,4984,
11,DRUK AIR,4591,
12,DRUK AIR,3363,
1,EGYPT AIR,1194,
2,EGYPT AIR,906,
3,EGYPT AIR,1228,
4,EGYPT AIR,821,
5,EGYPT AIR,1588,
6,EGYPT AIR,1133,
7,EGYPT AIR,1025,
8,EGYPT AIR,1008,
9,EGYPT AIR,1136,
10,EGYPT AIR,842,
11,EGYPT AIR,1619,
12,EGYPT AIR,2005,
1,EL-AL-ISRAEL,3226,
2,EL-AL-ISRAEL,3155,
3,EL-AL-ISRAEL,1302,
4,EL-AL-ISRAEL,2131,
5,EL-AL-ISRAEL,1913,
6,EL-AL-ISRAEL,1859,
7,EL-AL-ISRAEL,2434,
8,EL-AL-ISRAEL,2325,
9,EL-AL-ISRAEL,2691,
10,EL-AL-ISRAEL,1798,
11,EL-AL-ISRAEL,2754,
12,EL-AL-ISRAEL,3398,
1,EMIRATES AIRLINE,237552,
2,EMIRATES AIRLINE,208964,
3,EMIRATES AIRLINE,221418,
4,EMIRATES AIRLINE,205472,
5,EMIRATES AIRLINE,232446,
6,EMIRATES AIRLINE,250215,
7,EMIRATES AIRLINE,260673,
8,EMIRATES AIRLINE,201369,
9,EMIRATES AIRLINE,188719,
10,EMIRATES AIRLINE,217471,
11,EMIRATES AIRLINE,230228,
12,EMIRATES AIRLINE,263566,
1,ETHIOPIAN AIRLINES,3101,
2,ETHIOPIAN AIRLINES,3081,
3,ETHIOPIAN AIRLINES,11040,
4,ETHIOPIAN AIRLINES,12757,
5,ETHIOPIAN AIRLINES,13067,
6,ETHIOPIAN AIRLINES,15480,
7,ETHIOPIAN AIRLINES,17305,
8,ETHIOPIAN AIRLINES,17635,
9,ETHIOPIAN AIRLINES,4780,
10,ETHIOPIAN AIRLINES,19032,
11,ETHIOPIAN AIRLINES,16968,
12,ETHIOPIAN AIRLINES,5600,
1,ETIHAD AIRLINES,157715,
2,ETIHAD AIRLINES,89334,
3,ETIHAD AIRLINES,87318,
4,ETIHAD AIRLINES,98024,
5,ETIHAD AIRLINES,119470,
6,ETIHAD AIRLINES,125017,
7,ETIHAD AIRLINES,130362,
8,ETIHAD AIRLINES,100175,
9,ETIHAD AIRLINES,103476,
10,ETIHAD AIRLINES,101839,
11,ETIHAD AIRLINES,117175,
12,ETIHAD AIRLINES,128356,
1,EVA AIRWAYS,0,
2,EVA AIRWAYS,0,
3,EVA AIRWAYS,0,
4,EVA AIRWAYS,0,
5,EVA AIRWAYS,0,
6,EVA AIRWAYS,0,
7,EVA AIRWAYS,0,
8,EVA AIRWAYS,0,
9,EVA AIRWAYS,0,
10,EVA AIRWAYS,0,
11,EVA AIRWAYS,0,
12,EVA AIRWAYS,0,
1,FEDERAL EXPRESS,0,
2,FEDERAL EXPRESS,0,
3,FEDERAL EXPRESS,0,
4,FEDERAL EXPRESS,0,
5,FEDERAL EXPRESS,0,
6,FEDERAL EXPRESS,0,
7,FEDERAL EXPRESS,0,
8,FEDERAL EXPRESS,0,
9,FEDERAL EXPRESS,0,
10,FEDERAL EXPRESS,0,
11,FEDERAL EXPRESS,0,
12,FEDERAL EXPRESS,0,
1,FINN AIR,4352,
2,FINN AIR,4852,
3,FINN AIR,4010,
4,FINN AIR,1942,
5,FINN AIR,1834,
6,FINN AIR,3049,
7,FINN AIR,2796,
8,FINN AIR,2101,
9,FINN AIR,2412,
10,FINN AIR,3065,
11,FINN AIR,4763,
12,FINN AIR,5736,
